Feature 1,Feature 2,Correlation
deficiency_tag_727,mds_quality_code_480,-0.01
council_resident_and_family,mds_quality_code_480,-0.01
long_stay_quality_rating_4,council_family,0.01
council_resident_and_family,deficiency_tag_645,-0.01
ownership_government_state,deficiency_tag_583,-0.01
Rating Cycle 3 Number of Complaint Health Deficiencies,long_stay_quality_rating_1,-0.01
Rating Cycle 1 Health Revisit Score,most_recent_health_inspection_2plus_years_ago,0.01
months_since_approval,deficiency_tag_645,-0.01
mds_quality_code_480,deficiency_tag_658,0.01
ownership_government_city_county,mds_quality_code_480,0.01
severity_code_I,provider_medicaid,-0.01
deficiency_tag_883,short_stay_quality_rating_2,-0.01
health_inspection_rating_2,mds_quality_code_479,0.01
Rating Cycle 1 Health Revisit Score,ownership_government_city_county,-0.01
ownership_government_county,deficiency_tag_692,-0.01
deficiency_tag_919,quality_rating_3,0.01
deficiency_tag_585,mds_quality_code_401,-0.01
claims_quality_code_521,mds_quality_code_409,-0.01
severity_code_I,ownership_non_profit_corporation,-0.00
Total Amount of Fines in Dollars,provider_changed_ownership_last_12_months,0.00
health_inspection_rating_4,ownership_for_profit_individual,-0.00
quality_rating_1,deficiency_tag_558,-0.00
ownership_government_county,mds_quality_code_409,-0.00
provider_resides_in_hospital,special_focus_status_sff,-0.00
provider_medicare_and_medicaid,mds_quality_code_452,0.00
deficiency_tag_727,mds_quality_code_410,0.00
mds_quality_code_480,deficiency_tag_676,-0.00
short_stay_quality_rating_1,deficiency_tag_658,-0.00
mds_quality_code_410,deficiency_tag_623,-0.00
deficiency_tag_812,mds_quality_code_451,0.00
Rating Cycle 3 Number of Health Revisits,mds_quality_code_451,0.00
council_resident_and_family,ownership_government_county,-0.00
mds_quality_code_415,ownership_non_profit_other,0.00
severity_code_H,ownership_for_profit_individual,0.00
deficiency_tag_625,provider_changed_ownership_last_12_months,-0.00
health_inspection_rating_3,mds_quality_code_409,0.00
ownership_government_city,deficiency_tag_623,-0.00
long_stay_quality_rating_4,deficiency_tag_609,-0.00
most_recent_health_inspection_2plus_years_ago,long_stay_quality_rating_1,-0.00
deficiency_tag_755,sprinklers_in_required_areas,-0.00
severity_code_F,sprinklers_in_required_areas_partial,0.00
short_stay_quality_rating_3,deficiency_tag_645,-0.00
deficiency_tag_732,ownership_non_profit_other,-0.00
ownership_for_profit_partnership,deficiency_tag_684,-0.00
months_since_approval,deficiency_tag_677,0.00
ownership_government_county,Rating Cycle 2 Number of Health Revisits,-0.00
most_recent_health_inspection_2plus_years_ago,deficiency_tag_607,-0.00
Rating Cycle 1 Number of Health Revisits,long_stay_quality_rating_2,-0.00
quality_rating_1,deficiency_tag_583,-0.00
health_inspection_rating_3,provider_changed_ownership_last_12_months,0.00
ownership_government_county,Rating Cycle 3 Number of Health Revisits,0.00
quality_rating_5,mds_quality_code_409,-0.00
long_stay_quality_rating_5,council_resident,-0.00
council_resident_and_family,deficiency_tag_604,0.00
mds_quality_code_415,provider_medicaid,0.00
most_recent_health_inspection_2plus_years_ago,ownership_government_federal,0.00
Rating Cycle 2 Number of Standard Health Deficiencies,ownership_for_profit_partnership,-0.00
Rating Cycle 1 Total Health Score,council_family,-0.00
quality_rating_4,deficiency_tag_812,-0.00
severity_code_I,ownership_non_profit_church,-0.00
deficiency_tag_756,mds_quality_code_401,0.00
council_resident_and_family,deficiency_tag_726,-0.00
deficiency_tag_561,sprinklers_in_required_areas_partial,-0.00
mds_quality_code_415,sprinklers_in_required_areas,0.00
ownership_for_profit_partnership,deficiency_tag_582,-0.00
short_stay_quality_rating_5,mds_quality_code_401,-0.00
abuse_icon,mds_quality_code_451,0.00
mds_quality_code_434,deficiency_tag_759,0.00
quality_rating_3,ownership_for_profit_individual,-0.00
long_stay_quality_rating_3,ownership_for_profit_individual,-0.00
provider_changed_ownership_last_12_months,deficiency_tag_623,-0.00
ownership_government_hospital_district,severity_code_E,0.00
deficiency_tag_645,ownership_government_hospital_district,0.00
Rating Cycle 2 Number of Standard Health Deficiencies,long_stay_quality_rating_1,-0.00
quality_rating_3,abuse_icon,0.00
long_stay_quality_rating_5,deficiency_tag_908,-0.00
severity_code_I,ownership_government_hospital_district,-0.00
Rating Cycle 3 Number of Complaint Health Deficiencies,council_family,-0.00
claims_quality_code_552,deficiency_tag_761,-0.00
most_recent_health_inspection_2plus_years_ago,deficiency_tag_698,-0.00
severity_code_H,ownership_government_federal,-0.00
mds_quality_code_404,ownership_for_profit_individual,0.00
deficiency_tag_558,ownership_government_hospital_district,0.00
months_since_approval,quality_rating_5,-0.00
deficiency_tag_804,mds_quality_code_479,0.00
ownership_government_state,deficiency_tag_609,0.00
severity_code_I,council_resident,-0.00
ownership_non_profit_church,deficiency_tag_625,-0.00
provider_resides_in_hospital,long_stay_quality_rating_4,-0.00
deficiency_tag_804,sprinklers_in_required_areas_partial,-0.00
mds_quality_code_472,ownership_government_federal,-0.00
deficiency_tag_908,claims_quality_code_522,0.00
ownership_government_federal,Rating Cycle 1 Total Number of Health Deficiencies,0.00
quality_rating_1,deficiency_tag_684,-0.00
long_stay_quality_rating_3,deficiency_tag_623,0.00
ownership_government_city,deficiency_tag_692,0.00
long_stay_quality_rating_3,Rating Cycle 3 Number of Health Revisits,0.00
deficiency_tag_578,mds_quality_code_451,-0.00
provider_resides_in_hospital,provider_changed_ownership_last_12_months,-0.00
ownership_government_city_county,ownership_government_city,-0.00
severity_code_F,ownership_government_city,-0.00
months_since_approval,severity_code_L,0.00
quality_rating_3,deficiency_tag_881,0.00
ownership_for_profit_individual,deficiency_tag_684,-0.00
long_stay_quality_rating_1,ownership_non_profit_corporation,0.00
Rating Cycle 3 Health Revisit Score,mds_quality_code_409,-0.00
quality_rating_3,ownership_non_profit_other,-0.00
Rating Cycle 3 Health Deficiency Score,mds_quality_code_452,0.00
provider_resides_in_hospital,mds_quality_code_434,-0.00
council_resident,deficiency_tag_676,-0.00
deficiency_tag_585,mds_quality_code_452,-0.00
Rating Cycle 3 Health Revisit Score,long_stay_quality_rating_2,-0.00
ownership_government_city_county,deficiency_tag_756,0.00
council_resident_and_family,short_stay_quality_rating_2,0.00
severity_code_H,quality_rating_3,-0.00
Rating Cycle 3 Number of Complaint Health Deficiencies,long_stay_quality_rating_4,-0.00
ownership_for_profit_corporation,sprinklers_in_required_areas,0.00
severity_code_H,mds_quality_code_407,0.00
ownership_for_profit_partnership,deficiency_tag_584,-0.00
ownership_government_county,abuse_icon,-0.00
mds_quality_code_434,council_family,-0.00
severity_code_C,ownership_for_profit_llc,-0.00
Rating Cycle 1 Number of Health Revisits,sprinklers_in_required_areas_partial,-0.00
provider_changed_ownership_last_12_months,short_stay_quality_rating_4,-0.00
deficiency_tag_610,mds_quality_code_451,0.00
mds_quality_code_430,ownership_government_federal,-0.00
months_since_approval,Number of Fines,0.00
long_stay_quality_rating_4,ownership_government_city_county,-0.00
severity_code_I,quality_rating_2,-0.00
deficiency_tag_679,mds_quality_code_409,-0.00
short_stay_quality_rating_2,sprinklers_in_required_areas,-0.00
quality_rating_4,ownership_government_hospital_district,-0.00
ownership_government_city_county,mds_quality_code_408,0.00
deficiency_tag_761,sprinklers_in_required_areas_partial,-0.00
Rating Cycle 3 Health Revisit Score,sprinklers_in_required_areas,0.00
severity_code_I,deficiency_tag_842,0.00
mds_quality_code_452,sprinklers_in_required_areas,0.00
claims_quality_code_551,sprinklers_in_required_areas_partial,0.00
claims_quality_code_551,sprinklers_in_required_areas,-0.00
deficiency_tag_582,mds_quality_code_479,0.00
quality_rating_4,ownership_government_city_county,0.00
claims_quality_code_552,quality_rating_3,0.00
ownership_government_state,deficiency_tag_554,-0.00
Total Amount of Fines in Dollars,ownership_government_hospital_district,0.00
quality_rating_4,most_recent_health_inspection_2plus_years_ago,0.00
Total Number of Penalties,ownership_for_profit_individual,0.00
ownership_government_state,Rating Cycle 2 Health Deficiency Score,-0.00
severity_code_E,council_family,-0.00
deficiency_tag_880,mds_quality_code_401,0.00
deficiency_tag_757,months_since_approval,-0.00
mds_quality_code_401,severity_code_E,0.00
Rating Cycle 3 Total Number of Health Deficiencies,mds_quality_code_404,0.00
health_inspection_rating_5,council_family,-0.00
short_stay_quality_rating_4,ownership_non_profit_other,0.00
quality_rating_2,provider_medicaid,-0.00
claims_quality_code_521,ownership_government_hospital_district,-0.00
deficiency_tag_757,mds_quality_code_409,0.00
severity_code_F,mds_quality_code_410,0.00
claims_quality_code_552,Rating Cycle 1 Number of Standard Health Deficiencies,0.00
ownership_government_federal,mds_quality_code_451,0.00
Rating Cycle 3 Health Deficiency Score,ownership_government_federal,0.00
long_stay_quality_rating_5,deficiency_tag_558,0.00
most_recent_health_inspection_2plus_years_ago,health_inspection_rating_2,0.00
Rating Cycle 3 Total Number of Health Deficiencies,long_stay_quality_rating_1,-0.00
deficiency_tag_583,mds_quality_code_452,0.00
health_inspection_rating_4,mds_quality_code_451,-0.00
severity_code_H,mds_quality_code_406,-0.00
quality_rating_2,Rating Cycle 3 Health Revisit Score,0.00
quality_rating_1,deficiency_tag_867,0.00
short_stay_quality_rating_5,sprinklers_in_required_areas,0.00
severity_code_I,provider_changed_ownership_last_12_months,-0.00
council_resident_and_family,abuse_icon,-0.00
sprinklers_in_required_areas_partial,Rating Cycle 3 Number of Standard Health Deficiencies,-0.00
deficiency_tag_641,ownership_government_federal,0.00
special_focus_status_sff,ownership_non_profit_other,0.00
deficiency_tag_814,mds_quality_code_451,-0.00
claims_quality_code_551,ownership_for_profit_partnership,-0.00
long_stay_quality_rating_5,health_inspection_rating_3,0.00
ownership_government_city_county,health_inspection_rating_5,-0.00
short_stay_quality_rating_3,deficiency_tag_725,0.00
quality_rating_4,Rating Cycle 3 Number of Standard Health Deficiencies,-0.00
deficiency_tag_600,ownership_government_federal,0.00
Total Number of Penalties,mds_quality_code_409,0.00
deficiency_tag_583,sprinklers_in_required_areas,-0.00
deficiency_tag_585,long_stay_quality_rating_1,-0.00
deficiency_tag_645,sprinklers_in_required_areas,-0.00
ownership_government_state,severity_code_I,-0.00
ownership_government_city_county,deficiency_tag_867,-0.00
ownership_for_profit_partnership,deficiency_tag_610,0.00
special_focus_status_sff,sprinklers_in_required_areas,0.00
deficiency_tag_641,mds_quality_code_408,-0.00
quality_rating_4,deficiency_tag_693,0.00
Rating Cycle 3 Health Deficiency Score,ownership_for_profit_partnership,0.00
severity_code_H,severity_code_C,0.00
mds_quality_code_419,deficiency_tag_760,0.00
deficiency_tag_625,severity_code_H,0.00
ownership_government_state,long_stay_quality_rating_3,0.00
long_stay_quality_rating_5,deficiency_tag_679,0.00
mds_quality_code_452,ownership_non_profit_other,0.00
Rating Cycle 1 Total Health Score,ownership_government_hospital_district,-0.00
deficiency_tag_755,mds_quality_code_409,-0.00
deficiency_tag_921,severity_code_L,0.00
Rating Cycle 1 Health Revisit Score,sprinklers_in_required_areas,0.00
long_stay_quality_rating_1,sprinklers_in_required_areas_partial,0.00
quality_rating_1,ownership_for_profit_corporation,0.00
ownership_non_profit_church,deficiency_tag_758,0.00
deficiency_tag_842,council_family,-0.00
Total Amount of Fines in Dollars,ownership_for_profit_individual,0.00
mds_quality_code_479,deficiency_tag_623,-0.00
Rating Cycle 3 Health Revisit Score,sprinklers_in_required_areas_partial,-0.00
health_inspection_rating_3,short_stay_quality_rating_1,-0.00
sprinklers_in_required_areas_partial,health_inspection_rating_1,-0.00
ownership_for_profit_individual,mds_quality_code_409,-0.00
deficiency_tag_625,mds_quality_code_406,-0.00
special_focus_status_sff,council_family,-0.00
special_focus_status_sff,sprinklers_in_required_areas_partial,-0.00
mds_quality_code_409,deficiency_tag_578,-0.00
mds_quality_code_419,Number of administrators who have left the nursing home,-0.00
dollars_per_fine_count,council_family,-0.00
Rating Cycle 1 Number of Standard Health Deficiencies,mds_quality_code_409,-0.00
most_recent_health_inspection_2plus_years_ago,claims_quality_code_522,-0.00
health_inspection_rating_3,claims_quality_code_552,-0.00
quality_rating_1,deficiency_tag_550,0.00
severity_code_L,short_stay_quality_rating_3,0.00
quality_rating_2,deficiency_tag_641,0.00
health_inspection_rating_3,long_stay_quality_rating_4,0.00
deficiency_tag_690,mds_quality_code_406,-0.00
long_stay_quality_rating_2,Rating Cycle 3 Number of Health Revisits,0.00
long_stay_quality_rating_2,deficiency_tag_700,0.00
ownership_government_state,deficiency_tag_610,0.00
Rating Cycle 1 Health Revisit Score,mds_quality_code_452,-0.00
provider_medicare,deficiency_tag_554,0.00
quality_rating_1,council_family,-0.00
ownership_government_city_county,mds_quality_code_409,-0.00
severity_code_B,short_stay_quality_rating_2,0.00
deficiency_tag_883,mds_quality_code_409,-0.00
ownership_for_profit_partnership,severity_code_L,0.00
severity_code_I,long_stay_quality_rating_2,-0.00
health_inspection_rating_3,sprinklers_in_required_areas_partial,0.00
quality_rating_1,ownership_for_profit_partnership,0.00
quality_rating_1,ownership_government_hospital_district,0.00
claims_quality_code_551,ownership_government_hospital_district,0.00
severity_code_L,ownership_for_profit_individual,-0.00
severity_code_F,ownership_for_profit_partnership,0.00
Rating Cycle 1 Number of Health Revisits,quality_rating_3,0.00
deficiency_tag_804,ownership_for_profit_individual,0.00
deficiency_tag_644,sprinklers_in_required_areas,-0.00
provider_changed_ownership_last_12_months,Rating Cycle 3 Total Health Score,0.00
severity_code_I,deficiency_tag_676,0.00
mds_quality_code_452,deficiency_tag_698,-0.00
severity_code_B,long_stay_quality_rating_2,-0.00
health_inspection_rating_2,provider_medicaid,-0.00
most_recent_health_inspection_2plus_years_ago,deficiency_tag_806,0.00
claims_quality_code_551,deficiency_tag_679,0.00
deficiency_tag_727,ownership_non_profit_other,-0.00
health_inspection_rating_5,mds_quality_code_451,-0.00
mds_quality_code_410,ownership_government_city,-0.00
ownership_for_profit_partnership,deficiency_tag_607,0.00
ownership_for_profit_corporation,quality_rating_2,0.00
Rating Cycle 1 Number of Health Revisits,sprinklers_in_required_areas,0.00
deficiency_tag_759,mds_quality_code_409,0.00
ownership_for_profit_partnership,deficiency_tag_689,-0.00
ownership_for_profit_corporation,quality_rating_4,0.00
claims_quality_code_521,deficiency_tag_700,-0.00
severity_code_K,deficiency_tag_676,0.00
